IdProduto;Produto;Subcategoria;Categoria
2190;Adventure Works Floor Lamp X1150 Black;Lamps;Home Appliances
2198;Adventure Works Floor Lamp X1150 White;Lamps;Home Appliances
2206;Adventure Works Floor Lamp X1150 Silver;Lamps;Home Appliances
2214;Adventure Works Floor Lamp X1150 Grey;Lamps;Home Appliances
2222;Adventure Works Floor Lamp X1150 Blue;Lamps;Home Appliances
2230;WWI Floor Lamp X115 Black;Lamps;Home Appliances
2238;WWI Floor Lamp X115 White;Lamps;Home Appliances
2246;WWI Floor Lamp X115 Silver;Lamps;Home Appliances
2254;WWI Floor Lamp X115 Grey;Lamps;Home Appliances
2262;WWI Floor Lamp X115 Blue;Lamps;Home Appliances
2270;Proseware Floor Lamp X0115 Black;Lamps;Home Appliances
2278;Proseware Floor Lamp X0115 White;Lamps;Home Appliances
2286;Proseware Floor Lamp X0115 Silver;Lamps;Home Appliances
2294;Proseware Floor Lamp X0115 Grey;Lamps;Home Appliances
2302;Proseware Floor Lamp X0115 Blue;Lamps;Home Appliances
2310;Litware Floor Lamp X1015 Black;Lamps;Home Appliances
2318;Litware Floor Lamp X1015 White;Lamps;Home Appliances
2326;Litware Floor Lamp X1015 Silver;Lamps;Home Appliances
2334;Litware Floor Lamp X1015 Grey;Lamps;Home Appliances
2342;Litware Floor Lamp X1015 Blue;Lamps;Home Appliances
2218;Adventure Works Wall Lamp E2150 Grey;Lamps;Home Appliances
2219;Adventure Works Wall Lamp E3150 Grey;Lamps;Home Appliances
2220;Adventure Works Desk Lamp E1300 Grey;Lamps;Home Appliances
2221;Adventure Works Desk Lamp E1200 Grey;Lamps;Home Appliances
2258;WWI Wall Lamp E215 Grey;Lamps;Home Appliances
2259;WWI Wall Lamp E315 Grey;Lamps;Home Appliances
2260;WWI Desk Lamp E130 Grey;Lamps;Home Appliances
2261;WWI Desk Lamp E120 Grey;Lamps;Home Appliances
2298;Proseware Wall Lamp E0215 Grey;Lamps;Home Appliances
2299;Proseware Wall Lamp E0315 Grey;Lamps;Home Appliances
2300;Proseware Desk Lamp E0130 Grey;Lamps;Home Appliances
2301;Proseware Desk Lamp E0120 Grey;Lamps;Home Appliances
2338;Litware Wall Lamp E2015 Grey;Lamps;Home Appliances
2339;Litware Wall Lamp E3015 Grey;Lamps;Home Appliances
2340;Litware Desk Lamp E1030 Grey;Lamps;Home Appliances
2341;Litware Desk Lamp E1020 Grey;Lamps;Home Appliances
2226;Adventure Works Wall Lamp E2150 Blue;Lamps;Home Appliances
2227;Adventure Works Wall Lamp E3150 Blue;Lamps;Home Appliances
2228;Adventure Works Desk Lamp E1300 Blue;Lamps;Home Appliances
2229;Adventure Works Desk Lamp E1200 Blue;Lamps;Home Appliances
2266;WWI Wall Lamp E215 Blue;Lamps;Home Appliances
2267;WWI Wall Lamp E315 Blue;Lamps;Home Appliances
2268;WWI Desk Lamp E130 Blue;Lamps;Home Appliances
2269;WWI Desk Lamp E120 Blue;Lamps;Home Appliances
2306;Proseware Wall Lamp E0215 Blue;Lamps;Home Appliances
2307;Proseware Wall Lamp E0315 Blue;Lamps;Home Appliances
2308;Proseware Desk Lamp E0130 Blue;Lamps;Home Appliances
2309;Proseware Desk Lamp E0120 Blue;Lamps;Home Appliances
2346;Litware Wall Lamp E2015 Blue;Lamps;Home Appliances
2347;Litware Wall Lamp E3015 Blue;Lamps;Home Appliances
2210;Adventure Works Wall Lamp E2150 Silver;Lamps;Home Appliances
2211;Adventure Works Wall Lamp E3150 Silver;Lamps;Home Appliances
2212;Adventure Works Desk Lamp E1300 Silver;Lamps;Home Appliances
2213;Adventure Works Desk Lamp E1200 Silver;Lamps;Home Appliances
2250;WWI Wall Lamp E215 Silver;Lamps;Home Appliances
2251;WWI Wall Lamp E315 Silver;Lamps;Home Appliances
2252;WWI Desk Lamp E130 Silver;Lamps;Home Appliances
2253;WWI Desk Lamp E120 Silver;Lamps;Home Appliances
2290;Proseware Wall Lamp E0215 Silver;Lamps;Home Appliances
2291;Proseware Wall Lamp E0315 Silver;Lamps;Home Appliances
2292;Proseware Desk Lamp E0130 Silver;Lamps;Home Appliances
2293;Proseware Desk Lamp E0120 Silver;Lamps;Home Appliances
2330;Litware Wall Lamp E2015 Silver;Lamps;Home Appliances
2331;Litware Wall Lamp E3015 Silver;Lamps;Home Appliances
2332;Litware Desk Lamp E1030 Silver;Lamps;Home Appliances
2333;Litware Desk Lamp E1020 Silver;Lamps;Home Appliances
2202;Adventure Works Wall Lamp E2150 White;Lamps;Home Appliances
2203;Adventure Works Wall Lamp E3150 White;Lamps;Home Appliances
2204;Adventure Works Desk Lamp E1300 White;Lamps;Home Appliances
2205;Adventure Works Desk Lamp E1200 White;Lamps;Home Appliances
2242;WWI Wall Lamp E215 White;Lamps;Home Appliances
2243;WWI Wall Lamp E315 White;Lamps;Home Appliances
2244;WWI Desk Lamp E130 White;Lamps;Home Appliances
2245;WWI Desk Lamp E120 White;Lamps;Home Appliances
2282;Proseware Wall Lamp E0215 White;Lamps;Home Appliances
2283;Proseware Wall Lamp E0315 White;Lamps;Home Appliances
2284;Proseware Desk Lamp E0130 White;Lamps;Home Appliances
2285;Proseware Desk Lamp E0120 White;Lamps;Home Appliances
2322;Litware Wall Lamp E2015 White;Lamps;Home Appliances
2323;Litware Wall Lamp E3015 White;Lamps;Home Appliances
2324;Litware Desk Lamp E1030 White;Lamps;Home Appliances
2325;Litware Desk Lamp E1020 White;Lamps;Home Appliances
2194;Adventure Works Wall Lamp E2150 Black;Lamps;Home Appliances
2195;Adventure Works Wall Lamp E3150 Black;Lamps;Home Appliances
2196;Adventure Works Desk Lamp E1300 Black;Lamps;Home Appliances
2197;Adventure Works Desk Lamp E1200 Black;Lamps;Home Appliances
2234;WWI Wall Lamp E215 Black;Lamps;Home Appliances
2235;WWI Wall Lamp E315 Black;Lamps;Home Appliances
2236;WWI Desk Lamp E130 Black;Lamps;Home Appliances
2237;WWI Desk Lamp E120 Black;Lamps;Home Appliances
2274;Proseware Wall Lamp E0215 Black;Lamps;Home Appliances
2275;Proseware Wall Lamp E0315 Black;Lamps;Home Appliances
2276;Proseware Desk Lamp E0130 Black;Lamps;Home Appliances
2277;Proseware Desk Lamp E0120 Black;Lamps;Home Appliances
2314;Litware Wall Lamp E2015 Black;Lamps;Home Appliances
2315;Litware Wall Lamp E3015 Black;Lamps;Home Appliances
2316;Litware Desk Lamp E1030 Black;Lamps;Home Appliances
2317;Litware Desk Lamp E1020 Black;Lamps;Home Appliances
2207;Adventure Works Floor Lamp M2150 Silver;Lamps;Home Appliances
2208;Adventure Works Chandelier M8150 Silver;Lamps;Home Appliances
2209;Adventure Works Chandelier M6150 Silver;Lamps;Home Appliances
2247;WWI Floor Lamp M215 Silver;Lamps;Home Appliances
2248;WWI Chandelier M815 Silver;Lamps;Home Appliances
2249;WWI Chandelier M615 Silver;Lamps;Home Appliances
2287;Proseware Floor Lamp M0215 Silver;Lamps;Home Appliances
2288;Proseware Chandelier M0815 Silver;Lamps;Home Appliances
2289;Proseware Chandelier M0615 Silver;Lamps;Home Appliances
2327;Litware Floor Lamp M2015 Silver;Lamps;Home Appliances
2328;Litware Chandelier M8015 Silver;Lamps;Home Appliances
2329;Litware Chandelier M6015 Silver;Lamps;Home Appliances
2215;Adventure Works Floor Lamp M2150 Grey;Lamps;Home Appliances
2216;Adventure Works Chandelier M8150 Grey;Lamps;Home Appliances
2217;Adventure Works Chandelier M6150 Grey;Lamps;Home Appliances
2255;WWI Floor Lamp M215 Grey;Lamps;Home Appliances
2256;WWI Chandelier M815 Grey;Lamps;Home Appliances
2257;WWI Chandelier M615 Grey;Lamps;Home Appliances
2295;Proseware Floor Lamp M0215 Grey;Lamps;Home Appliances
2296;Proseware Chandelier M0815 Grey;Lamps;Home Appliances
2297;Proseware Chandelier M0615 Grey;Lamps;Home Appliances
2335;Litware Floor Lamp M2015 Grey;Lamps;Home Appliances
2336;Litware Chandelier M8015 Grey;Lamps;Home Appliances
2337;Litware Chandelier M6015 Grey;Lamps;Home Appliances
2223;Adventure Works Floor Lamp M2150 Blue;Lamps;Home Appliances
2224;Adventure Works Chandelier M8150 Blue;Lamps;Home Appliances
2225;Adventure Works Chandelier M6150 Blue;Lamps;Home Appliances
2263;WWI Floor Lamp M215 Blue;Lamps;Home Appliances
2264;WWI Chandelier M815 Blue;Lamps;Home Appliances
2265;WWI Chandelier M615 Blue;Lamps;Home Appliances
2303;Proseware Floor Lamp M0215 Blue;Lamps;Home Appliances
2304;Proseware Chandelier M0815 Blue;Lamps;Home Appliances
2305;Proseware Chandelier M0615 Blue;Lamps;Home Appliances
2343;Litware Floor Lamp M2015 Blue;Lamps;Home Appliances
2344;Litware Chandelier M8015 Blue;Lamps;Home Appliances
2345;Litware Chandelier M6015 Blue;Lamps;Home Appliances
2199;Adventure Works Floor Lamp M2150 White;Lamps;Home Appliances
2200;Adventure Works Chandelier M8150 White;Lamps;Home Appliances
2201;Adventure Works Chandelier M6150 White;Lamps;Home Appliances
2239;WWI Floor Lamp M215 White;Lamps;Home Appliances
2240;WWI Chandelier M815 White;Lamps;Home Appliances
2241;WWI Chandelier M615 White;Lamps;Home Appliances
2279;Proseware Floor Lamp M0215 White;Lamps;Home Appliances
2280;Proseware Chandelier M0815 White;Lamps;Home Appliances
2281;Proseware Chandelier M0615 White;Lamps;Home Appliances
2319;Litware Floor Lamp M2015 White;Lamps;Home Appliances
2320;Litware Chandelier M8015 White;Lamps;Home Appliances
2321;Litware Chandelier M6015 White;Lamps;Home Appliances
2191;Adventure Works Floor Lamp M2150 Black;Lamps;Home Appliances
2192;Adventure Works Chandelier M8150 Black;Lamps;Home Appliances
2193;Adventure Works Chandelier M6150 Black;Lamps;Home Appliances
2231;WWI Floor Lamp M215 Black;Lamps;Home Appliances
2232;WWI Chandelier M815 Black;Lamps;Home Appliances
2233;WWI Chandelier M615 Black;Lamps;Home Appliances
2271;Proseware Floor Lamp M0215 Black;Lamps;Home Appliances
2272;Proseware Chandelier M0815 Black;Lamps;Home Appliances
2273;Proseware Chandelier M0615 Black;Lamps;Home Appliances
2311;Litware Floor Lamp M2015 Black;Lamps;Home Appliances
2312;Litware Chandelier M8015 Black;Lamps;Home Appliances
2313;Litware Chandelier M6015 Black;Lamps;Home Appliances
2055;Contoso Microwave 1.5CuFt X0110 White;Microwaves;Home Appliances
2061;Contoso Microwave 1.5CuFt X0110 Silver;Microwaves;Home Appliances
2067;Contoso Microwave 1.5CuFt X0110 Grey;Microwaves;Home Appliances
2073;Contoso Microwave 1.5CuFt X0110 Red;Microwaves;Home Appliances
2079;Contoso Microwave 1.5CuFt X0110 Black;Microwaves;Home Appliances
2059;Contoso Microwave 0.9CuFt E0090 White;Microwaves;Home Appliances
2060;Contoso Microwave 0.8CuFt E0080 White;Microwaves;Home Appliances
2065;Contoso Microwave 0.9CuFt E0090 Silver;Microwaves;Home Appliances
2066;Contoso Microwave 0.8CuFt E0080 Silver;Microwaves;Home Appliances
2071;Contoso Microwave 0.9CuFt E0090 Grey;Microwaves;Home Appliances
2072;Contoso Microwave 0.8CuFt E0080 Grey;Microwaves;Home Appliances
2077;Contoso Microwave 0.9CuFt E0090 Red;Microwaves;Home Appliances
2078;Contoso Microwave 0.8CuFt E0080 Red;Microwaves;Home Appliances
2083;Contoso Microwave 0.9CuFt E0090 Black;Microwaves;Home Appliances
2084;Contoso Microwave 0.8CuFt E0080 Black;Microwaves;Home Appliances
2056;Contoso Microwave 2.2CuFt M0125 White;Microwaves;Home Appliances
2057;Contoso Microwave 1.6CuFt M0125 White;Microwaves;Home Appliances
2058;Contoso Microwave 1.0CuFt E0110 White;Microwaves;Home Appliances
2062;Contoso Microwave 2.2CuFt M0125 Silver;Microwaves;Home Appliances
2063;Contoso Microwave 1.6CuFt M0125 Silver;Microwaves;Home Appliances
2064;Contoso Microwave 1.0CuFt E0110 Silver;Microwaves;Home Appliances
2068;Contoso Microwave 2.2CuFt M0125 Grey;Microwaves;Home Appliances
2069;Contoso Microwave 2.2CuFt M0126 Grey;Microwaves;Home Appliances
2070;Contoso Microwave 1.0CuFt E0110 Grey;Microwaves;Home Appliances
2074;Contoso Microwave 2.2CuFt M0125 Red;Microwaves;Home Appliances
2075;Contoso Microwave 1.6CuFt M0125 Red;Microwaves;Home Appliances
2076;Contoso Microwave 1.0CuFt E0110 Red;Microwaves;Home Appliances
2080;Contoso Microwave 2.2CuFt M0125 Black;Microwaves;Home Appliances
2081;Contoso Microwave 1.6CuFt M0125 Black;Microwaves;Home Appliances
2082;Contoso Microwave 1.0CuFt E0110 Black;Microwaves;Home Appliances
1983;Fabrikam Microwave 1.5CuFt X1100 White;Microwaves;Home Appliances
1989;Fabrikam Microwave 1.5CuFt X1100 Silver;Microwaves;Home Appliances
1995;Fabrikam Microwave 1.5CuFt X1100 Grey;Microwaves;Home Appliances
2001;Fabrikam Microwave 1.5CuFt X1100 Red;Microwaves;Home Appliances
2007;Fabrikam Microwave 1.5CuFt X1100 Black;Microwaves;Home Appliances
2013;Fabrikam Microwave 1.5CuFt X1100 Blue;Microwaves;Home Appliances
2019;Litware Microwave 1.5CuFt X110 White;Microwaves;Home Appliances
2025;Litware Microwave 1.5CuFt X110 Silver;Microwaves;Home Appliances
2031;Litware Microwave 1.5CuFt X110 Grey;Microwaves;Home Appliances
2037;Litware Microwave 1.5CuFt X110 Red;Microwaves;Home Appliances
2043;Litware Microwave 1.5CuFt X110 Black;Microwaves;Home Appliances
2049;Litware Microwave 1.5CuFt X110 Blue;Microwaves;Home Appliances
1999;Fabrikam Microwave 0.9CuFt E0900 Grey;Microwaves;Home Appliances
2000;Fabrikam Microwave 0.8CuFt E0800 Grey;Microwaves;Home Appliances
2005;Fabrikam Microwave 0.9CuFt E0900 Red;Microwaves;Home Appliances
2006;Fabrikam Microwave 0.8CuFt E0800 Red;Microwaves;Home Appliances
2035;Litware Microwave 0.9CuFt E090 Grey;Microwaves;Home Appliances
2036;Litware Microwave 0.8CuFt E080 Grey;Microwaves;Home Appliances
2041;Litware Microwave 0.9CuFt E090 Red;Microwaves;Home Appliances
2042;Litware Microwave 0.8CuFt E080 Red;Microwaves;Home Appliances
2017;Fabrikam Microwave 0.9CuFt E0900 Blue;Microwaves;Home Appliances
2018;Fabrikam Microwave 0.8CuFt E0800 Blue;Microwaves;Home Appliances
2053;Litware Microwave 0.9CuFt E090 Blue;Microwaves;Home Appliances
2054;Litware Microwave 0.8CuFt E080 Blue;Microwaves;Home Appliances
1993;Fabrikam Microwave 0.9CuFt E0900 Silver;Microwaves;Home Appliances
1994;Fabrikam Microwave 0.8CuFt E0800 Silver;Microwaves;Home Appliances
2029;Litware Microwave 0.9CuFt E090 Silver;Microwaves;Home Appliances
2030;Litware Microwave 0.8CuFt E080 Silver;Microwaves;Home Appliances
1987;Fabrikam Microwave 0.9CuFt E0900 White;Microwaves;Home Appliances
1988;Fabrikam Microwave 0.8CuFt E0800 White;Microwaves;Home Appliances
2023;Litware Microwave 0.9CuFt E090 White;Microwaves;Home Appliances
2024;Litware Microwave 0.8CuFt E080 White;Microwaves;Home Appliances
2011;Fabrikam Microwave 0.9CuFt E0900 Black;Microwaves;Home Appliances
2012;Fabrikam Microwave 0.8CuFt E0800 Black;Microwaves;Home Appliances
2047;Litware Microwave 0.9CuFt E090 Black;Microwaves;Home Appliances
2048;Litware Microwave 0.8CuFt E080 Black;Microwaves;Home Appliances
1990;Fabrikam Microwave 2.2CuFt M1250 Silver;Microwaves;Home Appliances
1991;Fabrikam Microwave 1.6CuFt M1250 Silver;Microwaves;Home Appliances
1992;Fabrikam Microwave 1.0CuFt E1100 Silver;Microwaves;Home Appliances
