Data;Ano;AnoNum;Mês;Nome do Mês;Trimestre;Semana do Ano;Dia;Nome do Dia;AnoMês;AnoMesNum;Semestre;SemestreNum;Tri;Mês Nome;Dia da Semana
01/07/2008;2008;2008;7;julho;3;27;1;terça-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;2
02/07/2008;2008;2008;7;julho;3;27;2;quarta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;3
03/07/2008;2008;2008;7;julho;3;27;3;quinta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;4
04/07/2008;2008;2008;7;julho;3;27;4;sexta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;5
05/07/2008;2008;2008;7;julho;3;27;5;sábado;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;6
06/07/2008;2008;2008;7;julho;3;28;6;domingo;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;0
07/07/2008;2008;2008;7;julho;3;28;7;segunda-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;1
08/07/2008;2008;2008;7;julho;3;28;8;terça-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;2
09/07/2008;2008;2008;7;julho;3;28;9;quarta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;3
10/07/2008;2008;2008;7;julho;3;28;10;quinta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;4
11/07/2008;2008;2008;7;julho;3;28;11;sexta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;5
12/07/2008;2008;2008;7;julho;3;28;12;sábado;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;6
13/07/2008;2008;2008;7;julho;3;29;13;domingo;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;0
14/07/2008;2008;2008;7;julho;3;29;14;segunda-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;1
15/07/2008;2008;2008;7;julho;3;29;15;terça-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;2
16/07/2008;2008;2008;7;julho;3;29;16;quarta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;3
17/07/2008;2008;2008;7;julho;3;29;17;quinta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;4
18/07/2008;2008;2008;7;julho;3;29;18;sexta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;5
19/07/2008;2008;2008;7;julho;3;29;19;sábado;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;6
20/07/2008;2008;2008;7;julho;3;30;20;domingo;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;0
21/07/2008;2008;2008;7;julho;3;30;21;segunda-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;1
22/07/2008;2008;2008;7;julho;3;30;22;terça-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;2
23/07/2008;2008;2008;7;julho;3;30;23;quarta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;3
24/07/2008;2008;2008;7;julho;3;30;24;quinta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;4
25/07/2008;2008;2008;7;julho;3;30;25;sexta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;5
26/07/2008;2008;2008;7;julho;3;30;26;sábado;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;6
27/07/2008;2008;2008;7;julho;3;31;27;domingo;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;0
28/07/2008;2008;2008;7;julho;3;31;28;segunda-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;1
29/07/2008;2008;2008;7;julho;3;31;29;terça-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;2
30/07/2008;2008;2008;7;julho;3;31;30;quarta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;3
31/07/2008;2008;2008;7;julho;3;31;31;quinta-feira;Jul/08;200807;2Sem-08;200802;3ºTRI;JUL;4
01/08/2008;2008;2008;8;agosto;3;31;1;sexta-feira;Ago/08;200808;2Sem-08;200802;3ºTRI;AGO;5
02/08/2008;2008;2008;8;agosto;3;31;2;sábado;Ago/08;200808;2Sem-08;200802;3ºTRI;AGO;6
03/08/2008;2008;2008;8;agosto;3;32;3;domingo;Ago/08;200808;2Sem-08;200802;3ºTRI;AGO;0
