IdProduto;Produto;IdSubcategoria
743;Contoso Rechargeable Battery E100 Black;22
744;Contoso Dual USB Power Adapter - power adapter E300 Black;22
745;Contoso Car power adapter M90 Black;22
746;Contoso Notebook Peripheral Kit M69 Black;22
747;Contoso Mouse Lock Bundle E200 Black;22
748;Contoso Education Supplies Bundle E200 Black;22
749;Contoso Laptop Starter Bundle M200 Black;22
750;Contoso Education Essentials Bundle M300 Black;22
751;Contoso Desktop Alternative Bundle E200 Black;22
752;Contoso Power Inverter - DC to AC power inverter E900 Black;22
753;Contoso Smart Battery M901 Black;22
754;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black;22
755;Contoso Home/Office Laptop Power Adapter E300 Black;22
756;Contoso USB 2.0 Dock Station docking station M800 Black;22
757;Contoso Enhanced Capacity Battery M800 Black;22
758;Contoso Connectivity Starter Kit Smart Buy M680 Black;22
759;Contoso 90W AC/DC Power Adapter E300 Black;22
760;Contoso Reserve Pen - Tablet Pen E200 Black;22
761;Contoso USB Data Link-direct connect adapter E600 Black;22
762;Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black;22
763;Contoso Digital camera accessory kit M200 Black;22
764;Contoso Leather Case - case for digital photo camera X20 Black;22
765;Contoso Lens cap E80 Black;22
766;Contoso Battery charger - bike E200 Black;22
767;Contoso USB Optical Mouse E200 Black;22
768;Contoso ADSL Modem Splitter/Filter X 1 E100 Black;22
769;Contoso ADSL Modem Splitter/Filter X 2 E200 Black;22
770;Contoso ADSL Modem Splitter/Filter X 3 E300 Black;22
771;Contoso USB Wave Multi-media Keyboard E280 Black;22
772;Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black;22
773;Contoso USB Wave Multi-media Keyboard E280 Blue;22
774;Contoso USB Optical Mouse E200 Blue;22
775;Contoso Smart Battery M901 Blue;22
776;Contoso Digital Camera Accessory kit M200 Blue;22
777;Contoso Reserve Pen -Tablet Pen E200 Blue;22
778;Contoso Rechargeable Battery E100 White;22
779;Contoso Dual USB Power Adapter - power adapter E300 White;22
780;Contoso Car power adapter M90 White;22
781;Contoso Notebook Peripheral Kit M69 White;22
782;Contoso Mouse Lock Bundle E200 White;22
783;Contoso Education Supplies Bundle E200 White;22
784;Contoso Laptop Starter Bundle M200 White;22
785;Contoso Education Essentials Bundle M300 White;22
786;Contoso Desktop Alternative Bundle E200 White;22
787;Contoso Power Inverter - DC to AC power inverter E900 White;22
788;Contoso Smart Battery M901 White;22
789;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White;22
790;Contoso Home/Office Laptop Power Adapter E300 White;22
791;Contoso USB 2.0 Dock Station docking station M800 White;22
792;Contoso Enhanced Capacity Battery M800 White;22
793;Contoso Connectivity Starter Kit Smart Buy M680 White;22
794;Contoso 90W AC/DC Power Adapter E300 White;22
795;Contoso Reserve Pen - Tablet Pen E200 White;22
796;Contoso USB Data Link - direct connect adapter E600 White;22
797;Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White;22
798;Contoso Digital camera accessory kit M200 White;22
799;Contoso Leather Case - case for digital photo camera X20 White;22
800;Contoso Lens cap E80 White;22
801;Contoso Battery charger - bike E200 White;22
802;Contoso USB Optical Mouse E200 White;22
803;Contoso ADSL Modem Splitter/Filter X 1 E100 White;22
804;Contoso ADSL Modem Splitter/Filter X 2 E200 White;22
805;Contoso ADSL Modem Splitter/Filter X 3 E300 White;22
806;Contoso USB Wave Multi-media Keyboard E280 White;22
807;Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White;22
808;Contoso Rechargeable Battery E100 Grey;22
809;Contoso Dual USB Power Adapter - power adapter E300 Grey;22
810;Contoso Car power adapter M90 Grey;22
811;Contoso Notebook Peripheral Kit M69 Grey;22
812;Contoso Mouse Lock Bundle E200 Grey;22
813;Contoso Education Supplies Bundle E200 Grey;22
814;Contoso Laptop Starter Bundle M200 Grey;22
815;Contoso Education Essentials Bundle M300 Grey;22
816;Contoso Desktop Alternative Bundle E200 Grey;22
817;Contoso Power Inverter - DC to AC power inverter E900 Grey;22
818;Contoso Smart Battery M901 Grey;22
819;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey;22
820;Contoso Home/Office Laptop Power Adapter E300 Grey;22
